所属模块,用例标题,前置条件,步骤,预期,关键词,优先级,用例类型,适用阶段
/销售报表(#5),"检查当月按类汇总,总体按类汇总下显示的数据信息是否正确","
含有所有商品类别的批次清单","1.点击当月按类汇总(记录数据)
2.点击总体按类汇总(记录数据)
3.用批次管理导入批次清单,
执行此批次的入库操作,
销售出库操作,
完成后返回销售报表界面点击当月按类汇总
4.点击总体按类汇总","3.数据正常变化,数据库正常
4.数据正常变化,数据库正常",,2,功能测试,系统测试阶段
/销售报表(#5),查看明细记录后是否存在退货按钮,"
明细下存在销售记录","1.点击当日明细
2.点击当月明细
3.点击总体明细","1.记录后有退货按钮
2.记录后有退货按钮
3.记录后有退货按钮",,2,功能测试,系统测试阶段
/销售报表(#5),检验当日明细下退货功能是否可用1,"
明细下存在销售记录","1.点击当日明细
2.点击一条记录后的退货按钮
3.正确修改实退金额,点击确认退货
4.点击退货记录按钮","2.弹出退货操作窗口
3.窗口关闭,此条记录清除
4.出现此条退货记录,数据正常,数据库正常,该退货商品库存正确变更",,2,功能测试,系统测试阶段
/销售报表(#5),检验当月明细下退货功能是否可用2,"
明细下存在销售记录","1.点击当月明细
2.点击一条记录后的退货按钮
3.正确修改实退金额,点击确认退货
4.点击退货记录按钮","2.弹出退货操作窗口
3.窗口关闭,此条记录清除
4.出现此条退货记录,数据正常,数据库正常,该退货商品库存正确变更",,2,功能测试,系统测试阶段
/销售报表(#5),检验总体明细下退货功能是否可用3,"
明细下存在销售记录","1.点击总体明细
2.点击一条记录后的退货按钮
3.正确修改实退金额,点击确认退货
4.点击退货记录按钮","2.弹出退货操作窗口
3.窗口关闭,此条记录清除
4.出现此条退货记录,数据正常,数据库正常,该退货商品库存正确变更",,2,功能测试,系统测试阶段
/销售报表(#5),"当日明细中,退货操作窗内实退金额栏输入验证1","
明细下存在销售记录","1.点击当日明细
2.点击第一条记录后的退货按钮
3.修改实退金额(大于0,小于售价,正确操作),点击确认退货
4.点击最后一条记录后的退货按钮
5.同第三步","2.弹出退货操作窗口
3.窗口关闭,此条记录清除,数据库正常变更
4.弹出退货操作窗口
5.窗口关闭,此条记录清除,数据库正常变更",,3,功能测试,系统测试阶段
/销售报表(#5),"当日明细中,退货操作窗内实退金额栏输入验证2","
明细下存在销售记录","1.选择一条记录点击其后的退货按钮
2.修改实退金额为售价(原价退款),点击确认退货","1.弹出退货操作窗口
2.窗口关闭,此条记录清除",,3,功能测试,系统测试阶段
/销售报表(#5),"当日明细中,退货操作窗内实退金额栏输入验证3","
明细下存在销售记录","1.选择一条记录点击其后的退货按钮
2.修改实退金额为0,点击确认退货","1.弹出退货操作窗口
2.窗口关闭,此条记录清除",,3,功能测试,系统测试阶段
/销售报表(#5),"当日明细中,退货操作窗内实退金额栏输入验证4","
明细下存在销售记录","1.选择一条记录点击其后的退货按钮
2.修改实退金额为(数字大于售价均可),点击确认退货
3.关闭提示框,关闭退货窗口","1.弹出退货操作窗口
2.弹出提示”金额异常,请重新操作”
3.此记录不变化",,3,功能测试,系统测试阶段
/销售报表(#5),"当日明细中,退货操作窗内实退金额栏输入验证5","
明细下存在销售记录","1.选择一条记录点击其后的退货按钮
2.修改实退金额为空,点击确认退货
3.关闭提示框,关闭退货窗口","1.弹出退货操作窗口
2.弹出提示”金额异常,请重新操作”
3.此记录不变化",,3,功能测试,系统测试阶段
/销售报表(#5),"当日明细中,退货操作窗内实退金额栏输入验证6","
明细下存在销售记录","1.选择一条记录点击其后的退货按钮
2.修改实退金额为(负数),点击确认退货
3.关闭提示框,关闭退货窗口","1.弹出退货操作窗口
2.弹出提示”金额异常,请重新操作”
3.此记录不变化",,3,功能测试,系统测试阶段
/销售报表(#5),"当日明细中,退货操作窗内实退金额栏输入验证7","
明细下存在销售记录","1.选择一条记录点击其后的退货按钮
2.修改实退金额为(特殊字符),点击确认退货
3.关闭提示框,关闭退货窗口","1.弹出退货操作窗口
2.弹出提示”金额异常,请重新操作”
3.此记录不变化",,3,功能测试,系统测试阶段
/销售报表(#5),"当日明细中,退货操作窗内实退金额栏输入验证8","
明细下存在销售记录","1.选择一条记录点击其后的退货按钮
2.修改实退金额为(中文),点击确认退货
3.关闭提示框,关闭退货窗口","1.弹出退货操作窗口
2.弹出提示”金额异常,请重新操作”
3.此记录不变化",,3,功能测试,系统测试阶段
/销售报表(#5),"当日明细中,退货操作窗内实退金额栏输入验证9","
明细下存在销售记录","1.选择一条记录点击其后的退货按钮
2.修改实退金额为(字母+数字),点击确认退货","1.弹出退货操作窗口
2.弹出提示”金额异常,请重新操作”
3.此记录不变化",,3,功能测试,系统测试阶段
/销售报表(#5),"当月明细中,退货操作窗内实退金额栏输入验证1","
明细下存在销售记录","1.点击当月明细
2.点击第一条记录后的退货按钮
3.修改实退金额(大于0,小于售价,正确操作),点击确认退货
4.点击最后一条记录后的退货按钮
5.同第三步","2.弹出退货操作窗口
3.窗口关闭,此条记录清除
4.弹出退货操作窗口
5.窗口关闭,此条记录清除",,3,功能测试,系统测试阶段
/销售报表(#5),"当月明细中,退货操作窗内实退金额栏输入验证2","
明细下存在销售记录","1.选择一条记录点击其后的退货按钮
2.修改实退金额为售价(原价退款),点击确认退货","1.弹出退货操作窗口
2.窗口关闭,此条记录清除",,3,功能测试,系统测试阶段
/销售报表(#5),"当月明细中,退货操作窗内实退金额栏输入验证3","
明细下存在销售记录","1.选择一条记录点击其后的退货按钮
2.修改实退金额为0,点击确认退货","1.弹出退货操作窗口
2.窗口关闭,此条记录清除",,3,功能测试,系统测试阶段
/销售报表(#5),"当月明细中,退货操作窗内实退金额栏输入验证4","
明细下存在销售记录","1.选择一条记录点击其后的退货按钮
2.修改实退金额为(数字大于售价均可),点击确认退货
3.关闭提示框,关闭退货窗口","1.弹出退货操作窗口
2.弹出提示”金额异常,请重新操作”
3.此记录不变化",,3,功能测试,系统测试阶段
/销售报表(#5),"当月明细中,退货操作窗内实退金额栏输入验证5","
明细下存在销售记录","1.选择一条记录点击其后的退货按钮
2.修改实退金额为空,点击确认退货
3.关闭提示框,关闭退货窗口","1.弹出退货操作窗口
2.弹出提示”金额异常,请重新操作”
3.此记录不变化",,3,功能测试,系统测试阶段
/销售报表(#5),"当月明细中,退货操作窗内实退金额栏输入验证6","
明细下存在销售记录","1.选择一条记录点击其后的退货按钮
2.修改实退金额为(负数),点击确认退货
3.关闭提示框,关闭退货窗口","1.弹出退货操作窗口
2.弹出提示”金额异常,请重新操作”
3.此记录不变化",,3,功能测试,系统测试阶段
/销售报表(#5),"当月明细中,退货操作窗内实退金额栏输入验证7","
明细下存在销售记录","1.选择一条记录点击其后的退货按钮
2.修改实退金额为(特殊字符),点击确认退货
3.关闭提示框,关闭退货窗口","1.弹出退货操作窗口
2.弹出提示”金额异常,请重新操作”
3.此记录不变化",,3,功能测试,系统测试阶段
/销售报表(#5),"当月明细中,退货操作窗内实退金额栏输入验证8","
明细下存在销售记录","1.选择一条记录点击其后的退货按钮
2.修改实退金额为(中文),点击确认退货
3.关闭提示框,关闭退货窗口","1.弹出退货操作窗口
2.弹出提示”金额异常,请重新操作”
3.此记录不变化",,3,功能测试,系统测试阶段
/销售报表(#5),"当月明细中,退货操作窗内实退金额栏输入验证9","
明细下存在销售记录","1.选择一条记录点击其后的退货按钮
2.修改实退金额为(字母+数字),点击确认退货","1.弹出退货操作窗口
2.弹出提示”金额异常,请重新操作”
3.此记录不变化",,3,功能测试,系统测试阶段
/销售报表(#5),"总体明细中,退货操作窗内实退金额栏输入验证1","
明细下存在销售记录","1.点击总体明细
2.点击第一条记录后的退货按钮
3.修改实退金额(大于0,小于售价,正确操作),点击确认退货
4.点击最后一条记录后的退货按钮
5.同第三步","2.弹出退货操作窗口
3.窗口关闭,此条记录清除
4.弹出退货操作窗口
5.窗口关闭,此条记录清除",,3,功能测试,系统测试阶段
/销售报表(#5),"总体明细中,退货操作窗内实退金额栏输入验证2","
明细下存在销售记录","1.选择一条记录点击其后的退货按钮
2.修改实退金额为售价(原价退款),点击确认退货","1.弹出退货操作窗口
2.窗口关闭,此条记录清除",,3,功能测试,系统测试阶段
/销售报表(#5),"总体明细中,退货操作窗内实退金额栏输入验证3","
明细下存在销售记录","1.选择一条记录点击其后的退货按钮
2.修改实退金额为0,点击确认退货","1.弹出退货操作窗口
2.窗口关闭,此条记录清除",,3,功能测试,系统测试阶段
/销售报表(#5),"总体明细中,退货操作窗内实退金额栏输入验证4","
明细下存在销售记录","1.选择一条记录点击其后的退货按钮
2.修改实退金额为(数字大于售价均可),点击确认退货
3.关闭提示框,关闭退货窗口","1.弹出退货操作窗口
2.弹出提示”金额异常,请重新操作”
3.此记录不变化",,3,功能测试,系统测试阶段
/销售报表(#5),"总体明细中,退货操作窗内实退金额栏输入验证5","
明细下存在销售记录","1.选择一条记录点击其后的退货按钮
2.修改实退金额为空,点击确认退货
3.关闭提示框,关闭退货窗口","1.弹出退货操作窗口
2.弹出提示”金额异常,请重新操作”
3.此记录不变化",,3,功能测试,系统测试阶段
/销售报表(#5),"总体明细中,退货操作窗内实退金额栏输入验证6","
明细下存在销售记录","1.选择一条记录点击其后的退货按钮
2.修改实退金额为(负数),点击确认退货
3.关闭提示框,关闭退货窗口","1.弹出退货操作窗口
2.弹出提示”金额异常,请重新操作”
3.此记录不变化",,3,功能测试,系统测试阶段
/销售报表(#5),"总体明细中,退货操作窗内实退金额栏输入验证7","
明细下存在销售记录","1.选择一条记录点击其后的退货按钮
2.修改实退金额为(特殊字符),点击确认退货
3.关闭提示框,关闭退货窗口","1.弹出退货操作窗口
2.弹出提示”金额异常,请重新操作”
3.此记录不变化",,3,功能测试,系统测试阶段
/销售报表(#5),"总体明细中,退货操作窗内实退金额栏输入验证8","
明细下存在销售记录","1.选择一条记录点击其后的退货按钮
2.修改实退金额为(中文),点击确认退货
3.关闭提示框,关闭退货窗口","1.弹出退货操作窗口
2.弹出提示”金额异常,请重新操作”
3.此记录不变化",,3,功能测试,系统测试阶段
/销售报表(#5),"总体明细中,退货操作窗内实退金额栏输入验证9","
明细下存在销售记录","1.选择一条记录点击其后的退货按钮
2.修改实退金额为(字母+数字),点击确认退货","1.弹出退货操作窗口
2.弹出提示”金额异常,请重新操作”
3.此记录不变化",,3,功能测试,系统测试阶段
/销售报表(#5),检查当日明细中上下翻页功能是否可用1,"

执行销售出库操作(保证当日明细记录只有50条),完成后返回销售报表界面
","1.点击当日明细
2.执行一次销售出库操作后返回销售报表界面,点击当日明细
","1.记录最下方没有上下翻页按钮
2.记录下方出现上下翻页按钮,且此界面记录只有五十条",,3,功能测试,系统测试阶段
/销售报表(#5),检查当日明细中上下翻页功能是否可用2,"

执行销售出库操作(保证当日明细记录大于50条),完成后返回销售报表界面,直接点击当日明细

",1.点击上一页,1.出现提示"这是首页"(或者页面保持不变),,3,功能测试,系统测试阶段
/销售报表(#5),检查当日明细中上下翻页功能是否可用3,"

执行销售出库操作(保证当日明细记录大于100条),完成后返回销售报表界面,直接点击当日明细

","1.点击下一页
2.继续点击此页面的下一页
3.点击此页面的下一页(保证这是尾页)","1.页面跳转到第二页
2.页面正常跳转
3.出现提示""这是尾页""(或者页面不变)",,3,功能测试,系统测试阶段
/销售报表(#5),检查当日明细中上下翻页功能是否可用4,"

执行销售出库操作(保证当日明细记录大于101条),完成后返回销售报表界面,直接点击当日明细

","1.点击下一页
2点击此页面的上一页","1.页面跳转到第二页
2.页面跳转回上一页
",,3,功能测试,系统测试阶段
/销售报表(#5),检查当月明细中上下翻页功能是否可用1,"

执行销售出库操作(保证当月明细记录只有50条),完成后返回销售报表界面
","1.点击当月明细
2.执行一次销售出库操作后返回销售报表界面,点击当月明细
","1.记录最下方没有上下翻页按钮
2.记录下方出现上下翻页按钮,且此界面记录只有五十条",,3,功能测试,系统测试阶段
/销售报表(#5),检查当月明细中上下翻页功能是否可用2,"

执行销售出库操作(保证当月明细记录大于100条),完成后返回销售报表界面,直接点击当月明细

",1.点击上一页,1.出现提示"这是首页"(或者页面保持不变),,3,功能测试,系统测试阶段
/销售报表(#5),检查当月明细中上下翻页功能是否可用3,"

执行销售出库操作(保证当月明细记录大于100条),完成后返回销售报表界面,直接点击当月明细

","1.点击下一页
2.继续点击此页面的下一页
3.点击此页面的下一页(保证这是尾页)","1.页面跳转到第二页
2.页面正常跳转
3.出现提示""这是尾页""(或者页面不变)",,3,功能测试,系统测试阶段
/销售报表(#5),检查当月明细中上下翻页功能是否可用4,"

执行销售出库操作(保证当月明细记录大于101条),完成后返回销售报表界面,直接点击当月明细

","1.点击下一页
2点击此页面的上一页","1.页面跳转到第二页
2.页面跳转回上一页
",,3,功能测试,系统测试阶段
/销售报表(#5),检查总体明细中上下翻页功能是否可用1,"

执行销售出库操作(保证总体明细记录只有50条),完成后返回销售报表界面
","1.点击总体明细
2.执行一次销售出库操作后返回销售报表界面,点击总体明细
","1.记录最下方没有上下翻页按钮
2.记录下方出现上下翻页按钮,且此界面记录只有五十条",,3,功能测试,系统测试阶段
/销售报表(#5),检查总体明细中上下翻页功能是否可用2,"

执行销售出库操作(保证总体明细记录大于100条),完成后返回销售报表界面,直接点击总体明细

",1.点击上一页,1.出现提示"这是首页"(或者页面保持不变),,3,功能测试,系统测试阶段
/销售报表(#5),检查总体明细中上下翻页功能是否可用3,"

执行销售出库操作(保证总体明细记录大于101条),完成后返回销售报表界面,直接点击总体明细

","1.点击下一页
2.继续点击此页面的下一页
3.点击此页面的下一页(保证这是尾页)","1.页面跳转到第二页
2.页面正常跳转
3.出现提示""这是尾页""(或者页面不变)",,3,功能测试,系统测试阶段
/销售报表(#5),检查总体明细中上下翻页功能是否可用4,"

执行销售出库操作(保证总体明细记录大于102条),完成后返回销售报表界面,直接点击总体明细

","1.点击下一页
2点击此页面的上一页","1.页面跳转到第二页
2.页面跳转回上一页
",,3,功能测试,系统测试阶段
/销售报表(#5),检查当日摘要中上下翻页功能是否可用1,"

执行销售出库操作(保证当日摘要记录只有50条),完成后返回销售报表界面
","1.点击当日摘要
2.执行一次销售出库操作后返回销售报表界面,点击当日摘要
","1.记录最下方没有上下翻页按钮
2.记录下方出现上下翻页按钮,且此界面记录只有五十条",,3,功能测试,系统测试阶段
/销售报表(#5),检查当日摘要中上下翻页功能是否可用2,"

执行销售出库操作(保证当日摘要记录大于100条),完成后返回销售报表界面,直接点击当日摘要

",1.点击上一页,1.出现提示"这是首页"(或者页面保持不变),,3,功能测试,系统测试阶段
/销售报表(#5),检查当日摘要中上下翻页功能是否可用3,"

执行销售出库操作(保证当日摘要记录大于101条),完成后返回销售报表界面,直接点击当日摘要

","1.点击下一页
2.继续点击此页面的下一页
3.点击此页面的下一页(保证这是尾页)","1.页面跳转到第二页
2.页面正常跳转
3.出现提示""这是尾页""(或者页面不变)",,3,功能测试,系统测试阶段
/销售报表(#5),检查当日摘要中上下翻页功能是否可用4,"

执行销售出库操作(保证当日摘要记录大于102条),完成后返回销售报表界面,直接点击当日摘要

","1.点击下一页
2点击此页面的上一页","1.页面跳转到第二页
2.页面跳转回上一页
",,3,功能测试,系统测试阶段
/销售报表(#5),检查当月摘要中上下翻页功能是否可用1,"

执行销售出库操作(保证当月摘要记录只有50条),完成后返回销售报表界面
","1.点击当月摘要
2.执行一次销售出库操作后返回销售报表界面,点击当月摘要
","1.记录最下方没有上下翻页按钮
2.记录下方出现上下翻页按钮,且此界面记录只有五十条",,3,功能测试,系统测试阶段
/销售报表(#5),检查当月摘要中上下翻页功能是否可用2,"

执行销售出库操作(保证当月摘要记录大于100条),完成后返回销售报表界面,直接点击当月摘要

",1.点击上一页,1.出现提示"这是首页"(或者页面保持不变),,3,功能测试,系统测试阶段
/销售报表(#5),检查当月摘要中上下翻页功能是否可用3,"

执行销售出库操作(保证当月摘要记录大于101条),完成后返回销售报表界面,直接点击当月摘要

","1.点击下一页
2.继续点击此页面的下一页
3.点击此页面的下一页(保证这是尾页)","1.页面跳转到第二页
2.页面正常跳转
3.出现提示""这是尾页""(或者页面不变)",,3,功能测试,系统测试阶段
/销售报表(#5),检查当月摘要中上下翻页功能是否可用4,"

执行销售出库操作(保证当月摘要记录大于102条),完成后返回销售报表界面,直接点击当月摘要

","1.点击下一页
2点击此页面的上一页","1.页面跳转到第二页
2.页面跳转回上一页
",,3,功能测试,系统测试阶段
/销售报表(#5),检查总体摘要中上下翻页功能是否实现1,"

执行销售出库操作(保证总体摘要记录只有50条),完成后返回销售报表界面
","1.点击总体摘要
2.执行一次销售出库操作后返回销售报表界面,点击总体摘要
","1.记录最下方没有上下翻页按钮
2.记录下方出现上下翻页按钮,且此界面记录只有五十条",,3,功能测试,系统测试阶段
/销售报表(#5),检查总体摘要中上下翻页功能是否实现2,"

执行销售出库操作(保证总体摘要记录大于100条),完成后返回销售报表界面,直接点击总体摘要

",1.点击上一页,1.出现提示"这是首页"(或者页面保持不变),,3,功能测试,系统测试阶段
/销售报表(#5),检查总体摘要中上下翻页功能是否实现3,"

执行销售出库操作(保证总体摘要记录大于100条),完成后返回销售报表界面,直接点击总体摘要

","1.点击下一页
2.继续点击此页面的下一页
3.点击此页面的下一页(保证这是尾页)","1.页面跳转到第二页
2.页面正常跳转
3.出现提示""这是尾页""(或者页面不变)",,3,功能测试,系统测试阶段
/销售报表(#5),检查总体摘要中上下翻页功能是否实现4,"

执行销售出库操作(保证总体摘要记录大于101条),完成后返回销售报表界面,直接点击总体摘要

","1.点击下一页
2点击此页面的上一页","1.页面跳转到第二页
2.页面跳转回上一页
",,3,功能测试,系统测试阶段
/销售报表(#5),检查退货记录中上下翻页功能是否实现1,"
执行退货操作(保证当前退货记录只有50条),完成后
","1.点击退货记录
2.执行一次退货操作后,点击退货记录","1.记录最下方没有上下翻页按钮
2.记录下方出现上下翻页按钮,且此界面记录只有五十条",,3,功能测试,系统测试阶段
/销售报表(#5),检查退货记录中上下翻页功能是否实现2,"
执行退货操作(保证当前退货记录大于100条),完成后点击退货记录

",1.点击上一页,1.出现提示"这是首页"(或者页面保持不变),,3,功能测试,系统测试阶段
/销售报表(#5),检查退货记录中上下翻页功能是否实现3,"
执行退货操作(保证当前退货记录大于101条),完成后点击退货记录

","1.点击下一页
2.继续点击此页面的下一页
3.点击此页面的下一页(保证这是尾页)","1.页面跳转到第二页
2.页面正常跳转
3.出现提示""这是尾页""(或者页面不变)",,3,功能测试,系统测试阶段
/销售报表(#5),检查退货记录中上下翻页功能是否实现4,"
执行退货操作(保证当前退货记录大于102条),完成后点击退货记录
","1.点击下一页
2.点击此页面的上一页","1.页面跳转到第二页
2.页面跳转回上一页
",,3,功能测试,系统测试阶段
